action step s r x y
[step] 311 2 0 91 79
[step] 312 1 0 92 79
[step] 313 1 0 91 79
[step] 314 1 0 90 79
[step] 315 1 0 90 78
[step] 316 1 0 89 78
[step] 317 1 0 88 78
[step] 318 1 0 88 79
[step] 319 1 0 87 79
[step] 320 1 0 87 80
[step] 321 1 0 87 79
[step] 322 1 0 86 79
[step] 323 1 0 86 78
[step] 324 2 0 85 78
[step] 325 2 0 85 79
[step] 326 2 0 86 79
[step] 327 2 0 87 79
[step] 328 2 0 88 79
[step] 329 2 0 88 78
[step] 330 2 0 89 78
[step] 331 2 0 90 78
[step] 332 2 0 91 78
[step] 333 2 0 92 78
[step] 334 1 0 93 78
[step] 335 1 0 92 78
[step] 336 1 0 91 78
[step] 337 2 0 90 78
[step] 338 2 0 90 77
[step] 339 1 0 90 76
[step] 340 1 0 89 76
[step] 341 1 0 88 76
[step] 342 1 0 87 76
[step] 343 1 0 86 76
[step] 344 1 0 85 76
[step] 345 1 0 85 77
[step] 346 1 0 84 77
[step] 347 1 0 84 78
[step] 348 1 0 84 77
[step] 349 2 0 83 77
[step] 350 2 0 84 77
[step] 351 1 0 84 76
[step] 352 1 0 84 75
[step] 353 2 0 83 75
[step] 354 1 0 84 75
[step] 355 1 0 84 76
[step] 356 1 0 84 77
[step] 357 1 0 83 77
[step] 358 1 0 83 78
[step] 359 2 0 82 78
[step] 360 2 0 83 78
[step] 361 2 0 84 78
[step] 362 2 0 85 78
[step] 363 2 0 86 78
[step] 364 2 0 87 78
[step] 365 2 0 88 78
[step] 366 2 0 88 79
[step] 367 1 0 89 79
[step] 368 2 0 88 79
[step] 369 2 0 89 79
[step] 370 2 0 90 79
[step] 371 2 0 91 79
[step] 372 2 0 92 79
[step] 373 2 0 93 79
[step] 374 2 0 93 78
[step] 375 2 0 94 78
[step] 376 2 0 94 77
[step] 377 2 0 94 76
[step] 378 2 0 95 76
[step] 379 2 0 95 75
[step] 380 2 0 96 75
[step] 381 2 0 97 75
[step] 382 2 0 98 75
[step] 383 2 0 98 74
[step] 384 2 0 99 74
[step] 385 2 0 100 74
[return] 386 3 0 100 74
[return] 387 3 0 100 74
[return] 388 3 0 100 74
[return] 389 3 0 100 74
[return] 390 3 0 100 74
[return] 391 3 0 100 74
[return] 392 3 0 100 74
[return] 393 3 0 100 74
[return] 394 3 0 99 74
[return] 395 1 0 98 74
[step] 396 1 0 97 74
[step] 397 1 0 96 74
[step] 398 1 0 95 74
[step] 399 2 0 95 75
[step] 400 1 0 96 75
[step] 401 1 0 95 75
[step] 402 1 0 94 75
[step] 403 1 0 93 75
[step] 404 1 0 93 74
[step] 405 1 0 92 74
[step] 406 1 0 92 75
[step] 407 1 0 92 74
[step] 408 1 0 92 73
[step] 409 1 0 92 72
[step] 410 1 0 92 71
[step] 411 1 0 91 71
[step] 412 2 0 91 72
[step] 413 1 0 91 73
[step] 414 1 0 90 73
[step] 415 1 0 90 72
[step] 416 1 0 89 72
[step] 417 1 0 88 72
[step] 418 1 0 87 72
[step] 419 1 0 86 72
[step] 420 1 0 85 72
[step] 421 1 0 85 71
[step] 422 1 0 84 71
[step] 423 1 0 83 71
[step] 424 1 0 82 71
[step] 425 1 0 81 71
[step] 426 1 0 80 71
[step] 427 1 0 79 71
[step] 428 1 0 78 71
[step] 429 1 0 78 72
[step] 430 1 0 78 73
[step] 431 1 0 77 73
[step] 432 1 0 77 72
[step] 433 2 0 76 72
[step] 434 2 0 77 72
[step] 435 2 0 78 72
[step] 436 2 0 79 72
[step] 437 2 0 79 73
[step] 438 2 0 80 73
[step] 439 2 0 81 73
[step] 440 2 0 82 73
[step] 441 2 0 83 73
[step] 442 2 0 84 73
[step] 443 2 0 84 72
[step] 444 2 0 84 73
[step] 445 2 0 85 73
[step] 446 2 0 85 72
[step] 447 2 0 85 71
[step] 448 2 0 85 70
[step] 449 2 0 86 70
[step] 450 2 0 86 69
[step] 451 2 0 86 70
[step] 452 2 0 86 69
[step] 453 2 0 87 69
[step] 454 2 0 87 70
[step] 455 2 0 88 70
[step] 456 2 0 88 71
